"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type"
"Journal Article","Matsumoto M,Yagasaki T,Tanaka H","Chiral Ordering in Supercooled Liquid Water and Amorphous Ice","Phys. Rev. Lett.","Physical review letters","2015","115","19","197801","","田中さん業績集;Matsumoto","","2015-11-06","","0031-9007","1079-7114","http://dx.doi.org/10.1103/PhysRevLett.115.197801;https://www.ncbi.nlm.nih.gov/pubmed/26588416;http://link.aps.org/abstract/PRL/v115/p197801;https://scholar.google.ca/scholar?cluster=15850230603449307703&hl=en&as_sdt=0,5&sciodt=0,5","10.1103/PhysRevLett.115.197801","26588416","","The emergence of homochiral domains in supercooled liquid water is presented using molecular dynamics simulations. An individual water molecule possesses neither a chiral center nor a twisted conformation that can cause spontaneous chiral resolution. However, an aggregation of water molecules will naturally give rise to a collective chirality. Such homochiral domains possess obvious topological and geometrical orders and are energetically more stable than the average. However, homochiral domains cannot grow into macroscopic homogeneous structures due to geometrical frustrations arising from their icosahedral local order. Homochiral domains are the major constituent of supercooled liquid water and the origin of heterogeneity in that substance, and are expected to be enhanced in low-density amorphous ice at lower temperatures.","","","Graduate School of Natural Science and Technology, Okayama University, 3-1-1 Tsushima, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Adsorption Mechanism of Inhibitor and Guest Molecules on the Surface of Gas Hydrates","J. Am. Chem. Soc.","Journal of the American Chemical Society","2015","137","37","12079-12085","","田中さん業績集;Matsumoto","","2015-09-23","","0002-7863","1520-5126","http://dx.doi.org/10.1021/jacs.5b07417;https://www.ncbi.nlm.nih.gov/pubmed/26331549;https://dx.doi.org/10.1021/jacs.5b07417;https://scholar.google.ca/scholar?cluster=16541939431992498310&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/jacs.5b07417","26331549","","The adsorption of guest and kinetic inhibitor molecules on the surface of methane hydrate is investigated by using molecular dynamics simulations. We calculate the free energy profile for transferring a solute molecule from bulk water to the hydrate surface for various molecules. Spherical solutes with a diameter of ∼0.5 nm are significantly stabilized at the hydrate surface, whereas smaller and larger solutes exhibit lower adsorption affinity than the solutes of intermediate size. The range of the attractive force is subnanoscale, implying that this force has no effect on the macroscopic mass transfer of guest molecules in crystal growth processes of gas hydrates. We also examine the adsorption mechanism of a kinetic hydrate inhibitor. It is found that a monomer of the kinetic hydrate inhibitor is strongly adsorbed on the hydrate surface. However, the hydrogen bonding between the amide group of the inhibitor and water molecules on the hydrate surface, which was believed to be the driving force for the adsorption, makes no contribution to the adsorption affinity. The preferential adsorption of both the kinetic inhibitor and the spherical molecules to the surface is mainly due to the entropic stabilization arising from the presence of cavities at the hydrate surface. The dependence of surface affinity on the size of adsorbed molecules is also explained by this mechanism.","","","Department of Chemistry, Faculty of Science, Okayama University , Okayama, 700-8530, Japan. Research Center of New Functional Materials for Energy Production, Storage and Transport , Okayama, 700-8530, Japan.","en","Research Article"
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Reply to “Comment on 'Spontaneous liquid-liquid phase separation of water'”","Physical Review E","","2015","91","","016302","","田中さん業績集;Matsumoto","APS","2015","","","","https://journals.aps.org/pre/abstract/10.1103/PhysRevE.91.016302;https://scholar.google.ca/scholar?cluster=10685701726848895784&hl=en&as_sdt=0,5&sciodt=0,5","10.1103/PhysRevE.91.016302","","","Two different scenarios have been proposed on the phase separation occurring in the deeply supercooled liquid water. We discuss what we can derive from our simulation results for the two scenarios and propose a way for future investigation. We also demonstrate that …","","","","",""
"Journal Article","Yagasaki T,Himoto K,Nakamura T,Matsumoto M,Tanaka H","Structure, dynamics and thermodynamic stability of high-pressure ices and clathrate hydrates","Mol. Simul.","Molecular simulation","2015","41","10-12","868-873","","田中さん業績集;Matsumoto","Taylor & Francis","2015-08-13","","0892-7022","","https://doi.org/10.1080/08927022.2014.951642;http://dx.doi.org/10.1080/08927022.2014.951642;https://www.tandfonline.com/doi/abs/10.1080/08927022.2014.951642;https://scholar.google.ca/scholar?cluster=16608526466109687630&hl=en&as_sdt=0,5&sciodt=0,5","10.1080/08927022.2014.951642","","","We present the recent development of simulation studies on structure and dynamics of high-pressure ices and filled ices. After surveying the representative structures of ices, focus is placed on some properties of one of the ice polymorphs, plastic ice, which has been theoretically predicted but not yet been found experimentally. Its intervention between ice VII and liquid water enables to account for large discrepancies among various experimental melting curves of ice VII. We also examine the dynamical properties of the filled ice in which hydrogen molecules are contained in void space of the low-pressure cubic ice. In contrast to the plastic ice, which has a bearing on ice VII, it exhibits a gradual change to each rotator phase of guest hydrogen and/or host water molecules.","","","","",""
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Effects of thermodynamic inhibitors on the dissociation of methane hydrate: a molecular dynamics study","Phys. Chem. Chem. Phys.","Physical chemistry chemical physics: PCCP","2015","17","48","32347-32357","","田中さん業績集;Matsumoto","","2015-12-28","","1463-9076","1463-9084","http://dx.doi.org/10.1039/c5cp03008k;https://www.ncbi.nlm.nih.gov/pubmed/26587576;https://doi.org/10.1039/c5cp03008k;https://scholar.google.ca/scholar?cluster=7378214946945711232&hl=en&as_sdt=0,5&sciodt=0,5","10.1039/c5cp03008k","26587576","","We investigate the effects of methanol and NaCl, which are known as thermodynamic hydrate inhibitors, on the dissociation kinetics of methane hydrate in aqueous solutions by using molecular dynamics simulations. It is shown that the dissociation rate is not constant but changes with time. The dissociation rate in the initial stage is increased by methanol whereas it is decreased by NaCl. This difference arises from the opposite effects of the two thermodynamic inhibitors on the hydration free energy of methane. The dissociation rate of methane hydrate is increased by the formation of methane bubbles in the aqueous phase because the bubbles absorb surrounding methane molecules. It is found that both methanol and NaCl facilitate the bubble formation. However, their mechanisms are completely different from each other. The presence of ions enhances the hydrophobic interactions between methane molecules. In addition, the ions in the solution cause a highly non-uniform distribution of dissolved methane molecules. These two effects result in the easy formation of bubbles in the NaCl solution. In contrast, methanol assists the bubble formation because of its amphiphilic character.","","","Department of Chemistry, Faculty of Science, Okayama University, Okayama, 700-8530, Japan. Department of Chemistry, Faculty of Science, Okayama University, Okayama, 700-8530, Japan and Research Center of New Functional Materials for Energy Production, Storage and Transport, Okayama, 700-8530, Japan. htanakaa@okayama-u.ac.jp.","en","Research Article"
"Journal Article","Himoto K,Matsumoto M,Tanaka H","Yet another criticality of water","Phys. Chem. Chem. Phys.","Physical chemistry chemical physics: PCCP","2014","16","11","5081-5087","","田中さん業績集;Matsumoto","","2014-03-21","","1463-9076","1463-9084","http://dx.doi.org/10.1039/c3cp54726d;https://www.ncbi.nlm.nih.gov/pubmed/24499844;https://doi.org/10.1039/c3cp54726d;https://scholar.google.ca/scholar?cluster=7919066769301974281&hl=en&as_sdt=0,5&sciodt=0,5","10.1039/c3cp54726d","24499844","","A phase behavior around the transition between ice VII and a plastic phase of water is investigated by molecular dynamics simulation and the subsequent analysis on the basis of Landau theory. The prior works have predicted that the phase transition between ice VII and plastic ice is a first-order transition on the ground of a weak hysteresis and so on. A rigorous survey in the present report, however, augments their prediction with new evidence that a first-order phase transition line gives way to a second-order one at higher pressures, where a tricritical point joins these phase boundaries together. Critical phenomena are also observed whereby, other than that associated with the hypothetical critical point in the deeply supercooled state, which could influence the physical properties in a wide range of temperatures and pressures. A new critical behavior is affirmed by the result that the scaling law holds at any pressure on the second-order phase transition line for which the critical exponents are estimated. We introduce an appropriate order parameter to obtain the Landau free energy functional and the change in the functional against temperature accounts for the phase behaviors. This also enables an estimate of the coexistence and the spinodal lines at pressures below the tricritical point, all of which compensate those obtained directly by molecular dynamics simulations. These results allow us to anticipate that the critical fluctuations may give us a clue for determining the phase boundary experimentally.","","","Department of Chemistry, Okayama University, Okayama 700-8530, Japan. vitroid@gmail.com.","en","Research Article"
"Journal Article","Hakim L,Matsumoto M,Koga K,Tanaka H","Inclusion of Neon Inside Ice Ic and Its Influence to the Ice Structure","J. Phys. Soc. Jpn.","Journal of the Physical Society of Japan","2012","81","Suppl.A","SA018","","田中さん業績集;Matsumoto","The Physical Society of Japan","2012-01-02","","0031-9015","","https://doi.org/10.1143/JPSJS.81SA.SA018;http://dx.doi.org/10.1143/JPSJS.81SA.SA018;https://journals.jps.jp/doi/abs/10.1143/JPSJS.81SA.SA018;https://scholar.google.ca/scholar?cluster=2007551107638639305&hl=en&as_sdt=0,5&sciodt=0,5;https://journals.jps.jp/doi/pdf/10.1143/JPSJS.81SA.SA018?t=","10.1143/JPSJS.81SA.SA018","","","A hybrid type of grand-canonical Monte Carlo simulation is carried out to investigate the accommodation of guest particle, i.e., neon, inside ice I c and its influence to the ice structure. The simulation is extended from low pressure and temperature where the pure ice I c structure is stable. As the compression proceeds, ice I c structure become unstable due to the high pressure, and then at higher pressure it is shown that a large amount of neon can be kept inside the ice giving a stable neon hydrate of ice I c structure with the neon-to-water molar ratio close to unity. The key factor in stabilizing ice structure by guest particle is clarified by carrying out simulation with different magnitudes of Lennard-Jones (LJ) parameter ε wg which mainly determine the depth of LJ potential well of interaction between guest and host particles.","","","","",""
"Journal Article","Tanaka H,Matsumoto M","Statistical mechanical approach to the thermodynamic stability of clathrate hydrates","Liquid Polymorphism","","2013","","","","","田中さん業績集;NOPDF;Matsumoto","Wiley Online Library","2013","","","","https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118540350#page=433;https://scholar.google.ca/scholar?cluster=5132134165142064660&hl=en&as_sdt=0,5&sciodt=0,5","","","","Statistical mechanical approach to the thermodynamic stability of clathrate hydrates. Hideki Tanaka, Masakazu Matsumoto Liquid Polymorphism 152, 421-462, JOHN WILEY & SONS INC, 1/2013. A. Prediction of Thermodynamic Stability of Clathrate Hydrate B. Thermodynamic Variables and …","","","","",""
"Journal Article","Matsuo M,Takii Y,Matsumoto M,Tanaka H","On the Occupancy of Carbon Dioxide Clathrate Hydrates: Grandcanonical Monte Carlo Simulations","J. Phys. Soc. Jpn.","Journal of the Physical Society of Japan","2012","81","Suppl.A","SA027","","田中さん業績集;Matsumoto","The Physical Society of Japan","2012-01-02","","0031-9015","","https://doi.org/10.1143/JPSJS.81SA.SA027;http://dx.doi.org/10.1143/JPSJS.81SA.SA027;https://journals.jps.jp/doi/abs/10.1143/JPSJS.81SA.SA027;https://scholar.google.ca/scholar?cluster=8204750936124881316&hl=en&as_sdt=0,5&sciodt=0,5;https://journals.jps.jp/doi/pdf/10.1143/JPSJS.81SA.SA027?t=","10.1143/JPSJS.81SA.SA027","","","Grandcanonical Monte Carlo simulations are performed in order to examine the cage occupancies of carbon dioxide clathrate hydrate in both the larger and the smaller cages, the latter of which has been controversial issue and is related significantly with its phase behavior. It is found that occupancy of CO 2 in the smaller cage of clathrate structure I is negligible at a pressure of CO 2 below 1 MPa while that in the larger cage increases gradually with increasing the pressure of CO 2 in equilibrium with the clathrate hydrate. It is suggested by the present simulations that CO 2 clathrate hydrate exhibits a different character in occupancy from ethane, which is a little larger than CO 2 and cannot enter into the smaller cage.","","","","",""
"Journal Article","Himoto K,Matsumoto M,Tanaka H","Rotational Dynamics of Plastic Ice","J. Phys. Soc. Jpn.","Journal of the Physical Society of Japan","2012","81","Suppl.A","SA023","","田中さん業績集;Matsumoto","The Physical Society of Japan","2012-01-02","","0031-9015","","https://doi.org/10.1143/JPSJS.81SA.SA023;http://dx.doi.org/10.1143/JPSJS.81SA.SA023;https://journals.jps.jp/doi/abs/10.1143/JPSJS.81SA.SA023;https://scholar.google.ca/scholar?cluster=3213786405742999041&hl=en&as_sdt=0,5&sciodt=0,5","10.1143/JPSJS.81SA.SA023","","","A plastic phase predicted to exist between crystalline ice VII and liquid water has been investigated. The present work focuses on the dynamics of the water molecules in the phases at high temperature and pressure, i.e., ice VII, plastic ice, and liquid water. The hydrogen-bond correlation function providing the lifetime of hydrogen bonds is compared to the reorientational correlation function to examine a relation between a rotation of an individual molecule and an energetic relaxation process. The hydrogen-bond correlation function of plastic ice decays in a way similar to liquid but it converges to a finite value as seen in ice VII, reflecting the rotational motion of the water molecule at the fixed location. In addition, the relaxation times of the two correlation functions for plastic ice resemble one another, confirming the fact that only the rotational motion invokes the hydrogen-bond rearrangements in plastic ice.","","","","",""
"Journal Article","Matsumoto M,Tanaka H","Metastable Polymorphs of Clathrate Hydrate","J. Phys. Soc. Jpn.","Journal of the Physical Society of Japan","2012","81","Suppl.A","SA005","","田中さん業績集;Matsumoto;selectivity","The Physical Society of Japan","2012-01-02","","0031-9015","","https://doi.org/10.1143/JPSJS.81SA.SA005;http://dx.doi.org/10.1143/JPSJS.81SA.SA005;https://journals.jps.jp/doi/pdf/10.1143/JPSJS.81SA.SA005;https://scholar.google.ca/scholar?cluster=14000942743784466196&hl=en&as_sdt=0,5&sciodt=0,5;https://journals.jps.jp/doi/pdf/10.1143/JPSJS.81SA.SA005?t=","10.1143/JPSJS.81SA.SA005","","","We show a relevant metastable phase diagram of the polymorphs of the Frank?Kasper type clathrate hydrate by estimating the chemical potential of the second most stable phase as well as the most stable one at given thermodynamic conditions with arbitrarily chosen guest molecules.","","","","",""
